Time,Mesh_Current
05:13.4,1546
05:14.4,1544
05:15.4,1545
05:16.4,1546
05:17.4,1546
05:18.4,1545
05:19.4,1546
05:20.4,1543
05:21.4,1544
05:22.4,1544
05:23.4,1544
05:24.4,1542
05:25.4,1544
05:26.4,1543
05:27.4,1543
05:28.4,1543
05:29.4,1542
05:30.4,1543
05:31.4,1543
05:32.4,1543
05:33.4,1544
05:34.4,1543
05:35.4,1544
05:36.4,1544
05:37.4,1543
05:38.4,1544
05:39.4,1545
05:40.4,1544
05:41.4,1543
05:42.4,1542
05:43.4,1544
05:44.4,1544
05:45.4,1542
05:46.4,1542
05:47.4,1544
05:48.4,1543
05:49.4,1544
05:50.4,1542
05:51.4,1543
05:52.4,1544
05:53.4,1544
05:54.4,1543
05:55.4,1543
05:56.4,1543
05:57.4,1544
05:58.4,1543
05:59.4,1544
06:00.4,1545
06:01.4,1544
06:02.4,1544
06:03.4,1544
06:04.4,1544
06:05.4,1543
06:06.4,1542
06:07.4,1543
06:08.4,1544
06:09.4,1544
06:10.4,1544
06:11.4,1545
06:12.4,1545
06:13.4,1545
06:14.4,1545
06:15.4,1544
06:16.4,1545
06:17.4,1545
06:18.4,1545
06:19.4,1543
06:20.4,1544
06:21.4,1544
06:22.4,1544
06:23.4,1544
06:24.4,1544
06:25.4,1545
06:26.4,1543
06:27.4,1545
06:28.4,1544
06:29.4,1543
06:30.4,1545
06:31.4,1545
06:32.4,1545
06:33.4,1546
06:34.4,1544
06:35.4,1545
06:36.4,1543
06:37.4,1544
06:38.4,1545
06:39.4,1546
06:40.4,1544
06:41.4,1545
06:42.4,1545
06:43.4,1549
06:44.4,1549
06:45.4,1547
06:46.4,1548
06:47.4,1549
06:48.4,1550
06:49.4,1547
06:50.4,1548
06:51.4,1547
06:52.4,1548
06:53.4,1548
06:54.4,1548
06:55.4,1550
06:56.4,1548
06:57.4,1547
06:58.4,1548
06:59.4,1548
07:00.4,1547
07:01.4,1549
07:02.4,1548
07:03.4,1548
07:04.4,1548
07:05.4,1548
07:06.4,1548
07:07.4,1548
07:08.4,1547
07:09.4,1549
07:10.4,1547
07:11.4,1548
07:12.4,1547
07:13.4,1548
07:14.4,1548
07:15.4,1548
07:16.4,1546
07:17.4,1548
07:18.4,1547
07:19.4,1546
07:20.4,1546
07:21.4,1547
07:22.4,1546
07:23.4,1547
07:24.4,1546
07:25.4,1547
07:26.4,1547
07:27.4,1546
07:28.4,1545
07:29.4,1544
07:30.4,1544
07:31.4,1544
07:32.4,1545
07:33.4,1545
07:34.4,1545
07:35.4,1545
07:36.4,1545
07:37.4,1543
07:38.4,1544
07:39.4,1545
07:40.4,1546
07:41.4,1545
07:42.4,1546
07:43.4,1552
07:44.4,1551
07:45.4,1552
07:46.3,1551
07:47.3,1551
07:48.3,1550
07:49.3,1550
07:50.3,1550
07:51.3,1551
07:52.3,1550
07:53.3,1551
07:54.3,1551
07:55.3,1551
07:56.3,1551
07:57.3,1550
07:58.3,1550
07:59.3,1551
08:00.3,1550
08:01.3,1551
08:02.3,1550
08:03.3,1550
08:04.3,1550
08:05.3,1550
08:06.3,1549
08:07.3,1549
08:08.3,1548
08:09.3,1550
08:10.3,1550
08:11.3,1549
08:12.3,1549
08:13.3,1549
08:14.3,1548
08:15.3,1549
08:16.3,1548
08:17.3,1550
08:18.3,1550
08:19.3,1550
08:20.3,1548
08:21.3,1548
08:22.3,1548
08:23.3,1551
08:24.3,1547
08:25.3,1549
08:26.3,1548
08:27.3,1547
08:28.3,1549
08:29.3,1548
08:30.3,1549
08:31.3,1550
08:32.3,1548
08:33.3,1549
08:34.3,1548
08:35.3,1549
08:36.3,1549
08:37.3,1551
08:38.3,1548
08:39.3,1549
08:40.3,1549
08:41.3,1550
08:42.3,1550
08:43.3,1550
08:44.3,1550
08:45.3,1551
08:46.3,1549
08:47.3,1549
08:48.3,1549
08:49.3,1548
08:50.3,1550
08:51.3,1550
08:52.3,1549
08:53.3,1550
08:54.3,1549
08:55.3,1549
08:56.3,1549
08:57.3,1549
08:58.3,1548
08:59.3,1547
09:00.3,1548
09:01.3,1548
09:02.3,1548
09:03.3,1547
09:04.3,1547
09:05.3,1547
09:06.3,1545
09:07.3,1549
09:08.3,1548
09:09.3,1548
09:10.3,1549
09:11.3,1548
09:12.3,1549
09:13.3,1550
09:14.3,1549
09:15.3,1549
09:16.3,1549
09:17.3,1547
09:18.3,1548
09:19.3,1547
09:20.3,1547
09:21.3,1547
09:22.3,1546
09:23.3,1548
09:24.3,1546
09:25.3,1546
09:26.3,1548
09:27.3,1547
09:28.3,1546
09:29.3,1549
09:30.3,1546
09:31.3,1546
09:32.3,1547
09:33.3,1547
09:34.3,1545
09:35.3,1548
09:36.3,1546
09:37.3,1545
09:38.3,1548
09:39.3,1548
09:40.3,1549
09:41.3,1545
09:42.3,1549
09:43.3,1554
09:44.3,1551
09:45.3,1552
09:46.3,1552
09:47.3,1553
09:48.3,1554
09:49.3,1552
09:50.3,1554
09:51.3,1553
09:52.3,1554
09:53.3,1553
09:54.3,1553
09:55.3,1552
09:56.3,1553
09:57.3,1551
09:58.3,1551
09:59.3,1552
10:00.3,1553
10:01.3,1552
10:02.3,1552
10:03.3,1552
10:04.3,1551
10:05.3,1552
10:06.3,1552
10:07.3,1552
10:08.3,1550
10:09.3,1550
10:10.3,1552
10:11.3,1553
10:12.3,1552
10:13.3,1550
10:14.3,1549
10:15.3,1551
10:16.3,1553
10:17.3,1552
10:18.3,1551
10:19.3,1552
10:20.3,1549
10:21.3,1551
10:22.3,1551
10:23.3,1552
10:24.3,1552
10:25.3,1551
10:26.3,1551
10:27.3,1552
10:28.3,1550
10:29.3,1552
10:30.3,1551
10:31.3,1553
10:32.3,1552
10:33.3,1550
10:34.3,1548
10:35.3,1549
10:36.3,1549
10:37.3,1550
10:38.2,1550
10:39.2,1550
10:40.2,1552
10:41.2,1550
10:42.2,1555
10:43.2,1558
10:44.2,1558
10:45.2,1557
10:46.2,1556
10:47.2,1556
10:48.2,1557
10:49.2,1557
10:50.2,1557
10:51.2,1558
10:52.2,1557
10:53.2,1557
10:54.2,1555
10:55.2,1556
10:56.2,1558
10:57.2,1556
10:58.2,1555
10:59.2,1554
11:00.2,1555
11:01.2,1557
11:02.2,1555
11:03.2,1555
11:04.2,1556
11:05.2,1556
11:06.2,1555
11:07.2,1557
11:08.2,1556
11:09.2,1556
11:10.2,1556
11:11.2,1558
11:12.2,1556
11:13.2,1556
11:14.2,1555
11:15.2,1555
11:16.2,1556
11:17.2,1556
11:18.2,1556
11:19.2,1557
11:20.2,1556
11:21.2,1556
11:22.2,1554
11:23.2,1556
11:24.2,1556
11:25.2,1556
11:26.2,1555
11:27.2,1555
11:28.2,1554
11:29.2,1554
11:30.2,1554
11:31.2,1555
11:32.2,1555
11:33.2,1556
11:34.2,1555
11:35.2,1556
11:36.2,1556
11:37.2,1557
11:38.2,1558
11:39.2,1556
11:40.2,1557
11:41.2,1557
11:42.2,1557
11:43.2,1555
11:44.2,1556
11:45.2,1557
11:46.2,1556
11:47.2,1554
11:48.2,1555
11:49.2,1557
11:50.2,1555
11:51.2,1555
11:52.2,1555
11:53.2,1555
11:54.2,1556
11:55.2,1556
11:56.2,1555
11:57.2,1556
11:58.2,1556
11:59.2,1556
12:00.2,1555
12:01.2,1557
12:02.2,1554
12:03.2,1555
12:04.2,1554
12:05.2,1556
12:06.2,1555
12:07.2,1556
12:08.2,1555
12:09.2,1556
12:10.2,1555
12:11.2,1554
12:12.2,1555
12:13.2,1554
12:14.2,1555
12:15.2,1556
12:16.2,1555
12:17.2,1557
12:18.2,1554
12:19.2,1556
12:20.2,1556
12:21.2,1556
